"Subject"	"Bin"	"Electrode"	"Condition"	"MeanAmp"	"Race"	"Fix"
1	14	"CPZ"	"White_forehead"	6.98044656862745	"White"	"forehead"
1	14	"PZ"	"White_forehead"	7.28569828431373	"White"	"forehead"
1	14	"C3"	"White_forehead"	7.86081740196078	"White"	"forehead"
1	14	"C4"	"White_forehead"	1.81834215686275	"White"	"forehead"
1	14	"CP3"	"White_forehead"	9.80504411764706	"White"	"forehead"
1	14	"CP4"	"White_forehead"	3.33266176470588	"White"	"forehead"
1	1	"CZ"	"White_eyes"	1.93928700980392	"White"	"eyes"
1	1	"CPZ"	"White_eyes"	1.63526862745098	"White"	"eyes"
1	1	"PZ"	"White_eyes"	3.84689632352941	"White"	"eyes"
1	1	"C3"	"White_eyes"	4.05794215686274	"White"	"eyes"
1	1	"C4"	"White_eyes"	4.33974240196078	"White"	"eyes"
1	1	"CP3"	"White_eyes"	5.09916519607843	"White"	"eyes"
1	1	"CP4"	"White_eyes"	4.8597375	"White"	"eyes"
1	2	"CZ"	"White_eyes"	3.43139509803922	"White"	"eyes"
1	2	"CPZ"	"White_eyes"	4.36401470588235	"White"	"eyes"
1	2	"PZ"	"White_eyes"	4.01474362745098	"White"	"eyes"
1	2	"C3"	"White_eyes"	4.33891691176471	"White"	"eyes"
1	2	"C4"	"White_eyes"	4.22907916666667	"White"	"eyes"
1	2	"CP3"	"White_eyes"	4.20645318627451	"White"	"eyes"
1	2	"CP4"	"White_eyes"	4.58369534313726	"White"	"eyes"
1	3	"CZ"	"White_eyes"	-0.766417892156863	"White"	"eyes"
1	3	"CPZ"	"White_eyes"	0.256704411764706	"White"	"eyes"
1	3	"PZ"	"White_eyes"	-0.919043137254902	"White"	"eyes"
1	3	"C3"	"White_eyes"	0.136579411764706	"White"	"eyes"
1	3	"C4"	"White_eyes"	2.36260735294118	"White"	"eyes"
1	3	"CP3"	"White_eyes"	0.756543382352941	"White"	"eyes"
1	3	"CP4"	"White_eyes"	2.78139926470588	"White"	"eyes"
1	4	"CZ"	"White_eyes"	6.4695012254902	"White"	"eyes"
1	4	"CPZ"	"White_eyes"	8.86543284313725	"White"	"eyes"
