"Race"	"Fix"	"rescaleTrial"	"MeanAmp"	"plo"	"phi"	"Condition"
"Black"	"eyes"	211	37.1140280331594	31.39139983504	42.8366562312788	"Black, eyes"
"White"	"eyes"	211	22.4821461110607	16.8161065774629	28.1481856446584	"White, eyes"
"Black"	"forehead"	211	22.2795454619852	16.5866093354314	27.972481588539	"Black, forehead"
"White"	"forehead"	211	21.9223277979818	16.2399746536765	27.604680942287	"White, forehead"
"Black"	"eyes"	212	37.2857164495374	31.5357207696356	43.0357121294393	"Black, eyes"
"White"	"eyes"	212	22.5866842005702	16.8935082462015	28.2798601549389	"White, eyes"
"Black"	"forehead"	212	22.3811445253658	16.6609012459167	28.1013878048149	"Black, forehead"
"White"	"forehead"	212	22.0252698169165	16.3156905417327	27.7348490921003	"White, forehead"
"Black"	"eyes"	213	37.4574048659155	31.6800397999718	43.2347699318592	"Black, eyes"
"White"	"eyes"	213	22.6912222900797	16.9709082061648	28.4115363739947	"White, eyes"
"Black"	"forehead"	213	22.4827435887464	16.7351916458481	28.2302955316447	"Black, forehead"
"White"	"forehead"	213	22.1282118358512	16.3914048016911	27.8650188700113	"White, forehead"
"Black"	"eyes"	214	37.6290932822935	31.8243569529844	43.4338296116026	"Black, eyes"
"White"	"eyes"	214	22.7957603795893	17.0483064815581	28.5432142776205	"White, eyes"
"Black"	"forehead"	214	22.584342652127	16.8094805566553	28.3592047475987	"Black, forehead"
"White"	"forehead"	214	22.2311538547859	16.4671174566237	27.995190252948	"White, forehead"
"Black"	"eyes"	215	37.8007816986715	31.9686722551054	43.6328911422377	"Black, eyes"
"White"	"eyes"	215	22.9002984690988	17.1257030961331	28.6748938420646	"White, eyes"
"Black"	"forehead"	215	22.6859417155076	16.8837679993657	28.4881154316495	"Black, forehead"
"White"	"forehead"	215	22.3340958737206	16.5428285291702	28.1253632182709	"White, forehead"
"Black"	"eyes"	216	37.9724701150496	32.1129857322746	43.8319544978245	"Black, eyes"
"White"	"eyes"	216	23.0048365586083	17.2030980731985	28.8065750440182	"White, eyes"
"Black"	"forehead"	216	22.7875407788882	16.9580539946138	28.6170275631627	"Black, forehead"
