"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"TP7"	3.423643	"Black_eyes"	57	"Black"	"eyes"
"TP8"	2.181134	"Black_eyes"	57	"Black"	"eyes"
"P7/T5"	1.660145	"Black_eyes"	57	"Black"	"eyes"
"VEOG"	5.069829	"Black_eyes"	57	"Black"	"eyes"
"HEOG"	1.209892	"Black_eyes"	57	"Black"	"eyes"
"Nose"	4.534612	"Black_eyes"	57	"Black"	"eyes"
"FZ"	6.56531	"Black_fore"	57	"Black"	"fore"
"FC3"	5.911201	"Black_fore"	57	"Black"	"fore"
"FCZ"	6.280616	"Black_fore"	57	"Black"	"fore"
"FC4"	5.567667	"Black_fore"	57	"Black"	"fore"
"C3"	5.71324	"Black_fore"	57	"Black"	"fore"
"CZ"	5.9316	"Black_fore"	57	"Black"	"fore"
"C4"	4.880321	"Black_fore"	57	"Black"	"fore"
"CP3"	4.484608	"Black_fore"	57	"Black"	"fore"
"CPZ"	5.467888	"Black_fore"	57	"Black"	"fore"
"CP4"	4.292545	"Black_fore"	57	"Black"	"fore"
"P3"	3.765761	"Black_fore"	57	"Black"	"fore"
"PZ"	4.263472	"Black_fore"	57	"Black"	"fore"
"P4"	3.073488	"Black_fore"	57	"Black"	"fore"
"Oz"	-1.13274	"Black_fore"	57	"Black"	"fore"
"FP1"	5.396281	"Black_fore"	57	"Black"	"fore"
"FP2"	6.201654	"Black_fore"	57	"Black"	"fore"
"A2"	2.240361	"Black_fore"	57	"Black"	"fore"
"P8/T6"	-1.353459	"Black_fore"	57	"Black"	"fore"
"TP7"	3.532621	"Black_fore"	57	"Black"	"fore"
"TP8"	1.408968	"Black_fore"	57	"Black"	"fore"
"P7/T5"	1.773457	"Black_fore"	57	"Black"	"fore"
"VEOG"	3.676737	"Black_fore"	57	"Black"	"fore"
"HEOG"	1.985434	"Black_fore"	57	"Black"	"fore"
"Nose"	4.459282	"Black_fore"	57	"Black"	"fore"
"FZ"	3.89611	"White_eyes"	57	"White"	"eyes"
"FC3"	3.215193	"White_eyes"	57	"White"	"eyes"
"FCZ"	3.857252	"White_eyes"	57	"White"	"eyes"
"FC4"	4.074091	"White_eyes"	57	"White"	"eyes"
"C3"	2.698567	"White_eyes"	57	"White"	"eyes"
"CZ"	3.375322	"White_eyes"	57	"White"	"eyes"
"C4"	3.817119	"White_eyes"	57	"White"	"eyes"
"CP3"	1.751552	"White_eyes"	57	"White"	"eyes"
"CPZ"	2.898358	"White_eyes"	57	"White"	"eyes"
"CP4"	3.674104	"White_eyes"	57	"White"	"eyes"
"P3"	1.166471	"White_eyes"	57	"White"	"eyes"
"PZ"	2.464816	"White_eyes"	57	"White"	"eyes"
"P4"	3.190832	"White_eyes"	57	"White"	"eyes"
"Oz"	0.589712	"White_eyes"	57	"White"	"eyes"
"FP1"	3.499882	"White_eyes"	57	"White"	"eyes"
"FP2"	4.005368	"White_eyes"	57	"White"	"eyes"
"A2"	-1.177678	"White_eyes"	57	"White"	"eyes"
"P8/T6"	1.136405	"White_eyes"	57	"White"	"eyes"
"TP7"	0.406362	"White_eyes"	57	"White"	"eyes"
"TP8"	2.619039	"White_eyes"	57	"White"	"eyes"
"P7/T5"	-0.646421	"White_eyes"	57	"White"	"eyes"
"VEOG"	2.404214	"White_eyes"	57	"White"	"eyes"
"HEOG"	3.016744	"White_eyes"	57	"White"	"eyes"
"Nose"	3.217878	"White_eyes"	57	"White"	"eyes"
"FZ"	5.452902	"White_fore"	57	"White"	"fore"
"FC3"	4.789839	"White_fore"	57	"White"	"fore"
"FCZ"	4.992961	"White_fore"	57	"White"	"fore"
"FC4"	4.262692	"White_fore"	57	"White"	"fore"
"C3"	4.092184	"White_fore"	57	"White"	"fore"
"CZ"	4.292781	"White_fore"	57	"White"	"fore"
"C4"	3.589053	"White_fore"	57	"White"	"fore"
"CP3"	3.235893	"White_fore"	57	"White"	"fore"
"CPZ"	3.948354	"White_fore"	57	"White"	"fore"
"CP4"	3.212285	"White_fore"	57	"White"	"fore"
"P3"	2.513061	"White_fore"	57	"White"	"fore"
"PZ"	3.078895	"White_fore"	57	"White"	"fore"
"P4"	2.611585	"White_fore"	57	"White"	"fore"
"Oz"	-0.980675	"White_fore"	57	"White"	"fore"
"FP1"	5.652408	"White_fore"	57	"White"	"fore"
"FP2"	6.536878	"White_fore"	57	"White"	"fore"
"A2"	1.948727	"White_fore"	57	"White"	"fore"
"P8/T6"	-0.960342	"White_fore"	57	"White"	"fore"
"TP7"	2.949871	"White_fore"	57	"White"	"fore"
"TP8"	1.796232	"White_fore"	57	"White"	"fore"
"P7/T5"	0.677323	"White_fore"	57	"White"	"fore"
"VEOG"	1.961555	"White_fore"	57	"White"	"fore"
"HEOG"	0.19664	"White_fore"	57	"White"	"fore"
"Nose"	6.630558	"White_fore"	57	"White"	"fore"
"FZ"	2.326511	"Black_eyes"	58	"Black"	"eyes"
"FC3"	1.966695	"Black_eyes"	58	"Black"	"eyes"
"FCZ"	3.13589	"Black_eyes"	58	"Black"	"eyes"
"FC4"	2.087719	"Black_eyes"	58	"Black"	"eyes"
"C3"	2.743101	"Black_eyes"	58	"Black"	"eyes"
"CZ"	3.627369	"Black_eyes"	58	"Black"	"eyes"
"C4"	2.200626	"Black_eyes"	58	"Black"	"eyes"
"CP3"	4.329802	"Black_eyes"	58	"Black"	"eyes"
"CPZ"	4.914055	"Black_eyes"	58	"Black"	"eyes"
"CP4"	2.542235	"Black_eyes"	58	"Black"	"eyes"
"P3"	6.598622	"Black_eyes"	58	"Black"	"eyes"
"PZ"	6.023311	"Black_eyes"	58	"Black"	"eyes"
"P4"	4.248493	"Black_eyes"	58	"Black"	"eyes"
"Oz"	0.031414	"Black_eyes"	58	"Black"	"eyes"
"FP1"	1.074448	"Black_eyes"	58	"Black"	"eyes"
"FP2"	0.664966	"Black_eyes"	58	"Black"	"eyes"
"A2"	-0.062415	"Black_eyes"	58	"Black"	"eyes"
"P8/T6"	1.516949	"Black_eyes"	58	"Black"	"eyes"
"TP7"	0.073467	"Black_eyes"	58	"Black"	"eyes"
"TP8"	-0.062736	"Black_eyes"	58	"Black"	"eyes"
"P7/T5"	3.023075	"Black_eyes"	58	"Black"	"eyes"
"VEOG"	9.30852	"Black_eyes"	58	"Black"	"eyes"
"HEOG"	-1.592709	"Black_eyes"	58	"Black"	"eyes"
"Nose"	0.187933	"Black_eyes"	58	"Black"	"eyes"
