"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.7999	0.5114	0.8628	1.0753	0.236	0.6609	1.07	0.1626	0.3357	0.7973	-0.0052	0.2098	0.598	0.0865	1.3087	1.369	-0.1941	0.5035	0.3881	0.8471	-0.0918
0.7238	0.3855	0.7658	0.994	0.0813	0.5534	0.9887	0	0.2177	0.7029	-0.1469	0.1075	0.4878	0.1233	1.1802	1.3139	-0.236	0.4485	0.3173	0.834	-0.2098
0.6084	0.2806	0.6609	0.8969	-0.0787	0.4432	0.8838	-0.1469	0.0761	0.5822	-0.2964	-0.0079	0.3934	0.1442	1.0359	1.251	-0.2832	0.4013	0.2701	0.7894	-0.3383
0.4826	0.139	0.5271	0.7737	-0.2596	0.3121	0.771	-0.3383	-0.0892	0.4721	-0.4432	-0.1626	0.257	0.1626	0.8602	1.1671	-0.3068	0.3409	0.1783	0.737	-0.4983
0.4065	0	0.3803	0.7002	-0.4144	0.1757	0.6714	-0.5271	-0.257	0.3278	-0.6032	-0.2885	0.1574	0.181	0.716	1.1146	-0.3462	0.3068	0.0944	0.737	-0.6504
0.2675	-0.1364	0.2465	0.577	-0.5927	0.0446	0.5481	-0.7002	-0.4091	0.1915	-0.7632	-0.438	0.0262	0.1836	0.5534	0.9913	-0.3488	0.2387	-0.021	0.6793	-0.8104
0.1364	-0.2701	0.1075	0.4537	-0.7684	-0.1049	0.4144	-0.8864	-0.5691	0.0682	-0.9127	-0.5612	-0.1101	0.1967	0.417	0.8707	-0.3724	0.2124	-0.1285	0.6452	-0.9441
0	-0.4511	-0.0656	0.32	-0.9651	-0.257	0.2885	-1.0569	-0.7527	-0.0813	-1.0622	-0.7238	-0.2413	0.1993	0.2859	0.7658	-0.3855	0.1547	-0.2596	0.6242	-1.0831
-0.1442	-0.5927	-0.2334	0.1705	-1.1382	-0.4065	0.1338	-1.209	-0.8969	-0.2124	-1.2038	-0.8707	-0.3855	0.1941	0.1311	0.6216	-0.3829	0.1075	-0.3724	0.5717	-1.2064
-0.2964	-0.7842	-0.4117	0.042	-1.3139	-0.5875	-0.0079	-1.3795	-1.0674	-0.375	-1.3716	-1.0333	-0.5429	0.1967	0.0184	0.4852	-0.3829	0.0393	-0.4904	0.5219	-1.348
