"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.654	-1.609	-1.0071	-0.7727	-1.638	-1.4498	-0.8855	-1.5743	-1.6206	-1.0129	-1.0679	-1.7248	-0.9289	-0.0174	-0.246	-0.026	0.0347	-0.1505	-1.0215	-0.3039	-0.2431
-0.7148	-1.638	-1.0158	-0.7987	-1.6611	-1.4672	-0.8884	-1.6235	-1.583	-0.9492	-1.1199	-1.69	-0.845	-0.0116	-0.356	-0.1187	0.0318	-0.1331	-1.0505	-0.2778	-0.2923
-0.7379	-1.6929	-1.0447	-0.8016	-1.6871	-1.4904	-0.8797	-1.638	-1.6032	-0.9232	-1.2097	-1.6929	-0.79	-0.0029	-0.4196	-0.2315	0.026	-0.1418	-1.0939	-0.2778	-0.3386
-0.79	-1.7103	-1.0476	-0.8363	-1.7277	-1.5048	-0.8855	-1.6785	-1.6235	-0.874	-1.2386	-1.6814	-0.7119	-0.0174	-0.5064	-0.3096	0.0318	-0.1563	-1.1228	-0.2576	-0.3878
-0.8132	-1.719	-1.0563	-0.8363	-1.7508	-1.528	-0.8971	-1.7219	-1.6206	-0.8132	-1.2878	-1.6437	-0.654	-0.0058	-0.573	-0.3733	0.0145	-0.1418	-1.1084	-0.2547	-0.4486
-0.819	-1.7335	-1.0563	-0.8363	-1.7363	-1.5193	-0.8826	-1.7537	-1.6119	-0.7756	-1.3283	-1.609	-0.5701	-0.0058	-0.6685	-0.4283	0.0203	-0.1476	-1.1662	-0.217	-0.4862
-0.8045	-1.6958	-0.9955	-0.7842	-1.745	-1.4962	-0.8334	-1.7537	-1.5743	-0.7003	-1.3572	-1.5569	-0.5035	0.0203	-0.6945	-0.4312	-0.0289	-0.1273	-1.1489	-0.1794	-0.5122
-0.8045	-1.6814	-0.9752	-0.7756	-1.7277	-1.473	-0.8016	-1.7363	-1.5453	-0.6338	-1.3572	-1.4904	-0.4225	0.0318	-0.7293	-0.4514	-0.055	-0.1071	-1.1402	-0.1476	-0.5441
-0.7842	-1.6524	-0.9029	-0.7003	-1.7045	-1.418	-0.7495	-1.7045	-1.4788	-0.5267	-1.363	-1.4007	-0.3386	0.0666	-0.7495	-0.4572	-0.1215	-0.0868	-1.1489	-0.0926	-0.5904
-0.7322	-1.5569	-0.8306	-0.6222	-1.6437	-1.337	-0.654	-1.6524	-1.4296	-0.4486	-1.3428	-1.2907	-0.2576	0.081	-0.7495	-0.4196	-0.1707	-0.0695	-1.117	-0.0579	-0.6077
-0.6424	-1.4904	-0.7351	-0.5672	-1.5656	-1.2531	-0.573	-1.5743	-1.3138	-0.3212	-1.3023	-1.1778	-0.1534	0.1273	-0.7466	-0.3791	-0.2489	-0.0434	-1.0707	0.0145	-0.6019
-0.5354	-1.3572	-0.6019	-0.463	-1.4643	-1.1286	-0.4543	-1.4904	-1.2039	-0.1852	-1.2328	-1.0389	-0.055	0.1794	-0.6743	-0.3096	-0.3299	-0.0058	-1.0302	0.0666	-0.6019
-0.4457	-1.2675	-0.5035	-0.3675	-1.3515	-1.01	-0.356	-1.4209	-1.0939	-0.0666	-1.1605	-0.8942	0.0289	0.1997	-0.6598	-0.2749	-0.3994	0.0145	-0.9955	0.1244	-0.5846
-0.3212	-1.1518	-0.3588	-0.2373	-1.2212	-0.8595	-0.2344	-1.3109	-0.9434	0.0463	-1.0852	-0.7611	0.1331	0.2633	-0.5904	-0.1852	-0.5122	0.0781	-0.9521	0.191	-0.5817
-0.1794	-0.9955	-0.2373	-0.1331	-1.1315	-0.6801	-0.1013	-1.2183	-0.8045	0.1765	-1.0071	-0.599	0.2315	0.3068	-0.5064	-0.0984	-0.6193	0.11	-0.9087	0.2547	-0.5672
-0.055	-0.8479	-0.0695	-0.0145	-0.9637	-0.5296	0.0145	-1.0823	-0.6482	0.3183	-0.9261	-0.4023	0.3241	0.3704	-0.4341	-0.026	-0.7264	0.1187	-0.874	0.301	-0.5556
0.0955	-0.683	0.11	0.1331	-0.8045	-0.3444	0.1765	-0.9463	-0.5035	0.4341	-0.7929	-0.2489	0.4225	0.4341	-0.3386	0.081	-0.8537	0.1678	-0.8161	0.3791	-0.5325
0.2981	-0.4804	0.2836	0.3241	-0.6222	-0.1273	0.3473	-0.7987	-0.2981	0.5933	-0.6685	-0.0232	0.5614	0.5093	-0.2026	0.1852	-1.0042	0.217	-0.7466	0.4399	-0.5209
0.4399	-0.3183	0.4717	0.463	-0.4543	0.0868	0.4775	-0.6424	-0.0926	0.7235	-0.5585	0.1621	0.6627	0.5643	-0.11	0.2923	-1.1199	0.2431	-0.7148	0.4891	-0.492
0.6164	-0.1389	0.628	0.6193	-0.3039	0.2836	0.6482	-0.4862	0.0666	0.8392	-0.4457	0.3328	0.7466	0.6396	0.026	0.3762	-1.2502	0.301	-0.6367	0.5585	-0.4804
0.7698	0.0232	0.8045	0.7351	-0.1215	0.4601	0.7727	-0.3617	0.2518	0.9463	-0.3502	0.5093	0.845	0.6888	0.1013	0.4399	-1.3515	0.3125	-0.6019	0.5759	-0.463
0.9434	0.2286	0.981	0.9058	0.0434	0.6772	0.9405	-0.1968	0.4514	1.0852	-0.2315	0.6888	0.9376	0.7437	0.1794	0.5441	-1.4701	0.3473	-0.5383	0.6019	-0.4486
1.0679	0.382	1.1199	1.0187	0.1823	0.8334	1.0736	-0.0666	0.628	1.1894	-0.1331	0.8392	0.9897	0.7785	0.2431	0.6048	-1.5482	0.3444	-0.5325	0.6396	-0.463
1.1807	0.5498	1.2617	1.1431	0.3357	1.0129	1.172	0.0579	0.7871	1.2617	-0.0781	0.9724	1.0389	0.8219	0.2952	0.6453	-1.6351	0.382	-0.4891	0.6396	-0.4601
1.308	0.709	1.3862	1.2531	0.4949	1.1836	1.2849	0.1765	0.9434	1.3428	0.0116	1.1084	1.1026	0.8537	0.3386	0.7032	-1.7103	0.3791	-0.4775	0.6511	-0.4428
1.4354	0.8132	1.5251	1.3341	0.6309	1.3457	1.3833	0.2778	1.0852	1.392	0.0868	1.2473	1.1518	0.8971	0.3849	0.7611	-1.7798	0.3907	-0.4572	0.654	-0.463
1.5309	0.9434	1.6264	1.4267	0.7293	1.4788	1.4527	0.382	1.201	1.4441	0.1534	1.3283	1.1489	0.9347	0.4399	0.8132	-1.8521	0.3878	-0.4312	0.654	-0.5093
